Topic_ID,Impact_Type,Scale,Scope,Irremediability,Likelihood_Impact,Net_Impact_Score,Financial_Type,FM_Magnitude,FM_Likelihood,Net_Financial_Score
1,AN,8,6,8,,7.333333,O,5,9,7.0
2,PP,10,9,,,9.5,O,7,10,8.5
3,AN,9,8,6,,7.666667,R,7,4,5.5
4,AN,6,6,6,,6.0,R,7,7,7.0
5,AN,6,5,7,,6.0,R,8,6,7.0
6,PP,7,8,,,7.5,O,7,3,5.0
7,AN,7,6,9,,7.333333,R,7,9,8.0
8,AN,6,7,4,,5.666667,R,7,6,6.5
9,PP,6,8,,,7.0,O,9,6,7.5
10,AN,8,9,9,,8.666667,R,9,9,9.0
11,AP,3,2,,,2.0,O,9,9,9.0
12,PP,5,7,,,6.0,R,7,3,5.0
13,PP,7,8,,,7.5,R,6,5,5.5
14,PN,8,9,9,6,8.0,O,8,9,8.5
15,AN,7,7,8,,7.333333,O,8,8,8.0
16,PN,4,3,5,4,4.0,R,4,3,3.5
17,PP,6,3,,6,5.0,O,7,8,7.5
18,PP,6,5,,,5.5,O,6,8,7.0
19,PP,5,4,,,4.5,O,9,8,8.5
20,PP,5,8,,,6.5,R,8,6,7.0
21,PP,8,8,,,8.0,R,4,3,3.5
